epoch,train_loss,val_dice_RV,val_dice_MYO,val_dice_LV,val_dice_mean
1,0.7716612286865712,0.037479484011419116,0.041216422850266096,0.11289967623306438,0.06386519436491653
2,0.59405163154006,0.17765117422677576,0.060449132416397336,0.2396684855222702,0.15925626405514776
3,0.4749158378690481,0.34089947389438746,0.1785644513554871,0.35808563260361553,0.2925165192844967
4,0.38143541384488344,0.4586215693503618,0.24331641932949424,0.4776258196681738,0.39318793611600994
5,0.3103067368268967,0.5402887158095837,0.3313290264457464,0.5759076096117497,0.4825084506223599
6,0.25335083743557335,0.5930325996130705,0.4410288969054818,0.6363648716360331,0.5568087893848618
7,0.20684170443564653,0.6623544147238135,0.5034451719606295,0.6921628691488877,0.6193208186111103
8,0.1769769426435232,0.7054948814213275,0.579360636509955,0.7502680571749807,0.6783745250354211
9,0.1482244012877345,0.7251639574766159,0.6360853774938733,0.7734584317309782,0.7115692555671558
10,0.1304773897398263,0.7375889729708434,0.6691250964999199,0.8193650469183922,0.7420263721297184
11,0.11849003126844763,0.7466370806097984,0.6795792166143656,0.8233374409377575,0.7498512460539739
12,0.10758195505477489,0.7810147307813168,0.7042081959545612,0.8336854554712773,0.7729694607357185
13,0.10031835599802434,0.7859581187367439,0.7185153411934152,0.8157486942596733,0.7734073847299442
14,0.09299009805545211,0.799615191668272,0.718263593519805,0.8433684437535703,0.7870824096472158
15,0.08615722979884595,0.8108353778719902,0.7415236568776891,0.8567803690209985,0.8030464679235593
16,0.08357293473090976,0.8137143462896347,0.7528258995618671,0.8484505954198539,0.804996947090452
17,0.07776859325822442,0.8116299249231815,0.7508455040864647,0.827134917222429,0.7965367820773583
18,0.07327960475813597,0.8216750264167786,0.7534051649272442,0.8700914084911346,0.8150571999450525
19,0.07143916061613709,0.8294437363743782,0.7700010792352259,0.8662261728197336,0.8218903294764459
20,0.06891230512410403,0.8303570434451103,0.7738715976942331,0.8594542215112597,0.8212276208835343
